title,authors,abstract,keywords,year,venue,pub_type,first_author_country
Three-Dimensional Animation Generation and Optimization Algorithm Based on Artificial Intelligence,"Liu, Alex Zihuan Cui","This paper aims to explore the 3D animation generation technology based on AI (Artificial Intelligence) to improve the efficiency and quality of animation production. This paper expounds the extensive application of 3D animation in many fields and the potential and challenges of AI technology in it, and makes clear the importance and practical application value of the research. In terms of methods, this paper designs an algorithm model of 3D animation generation based on AI. Through DL (Deep Learning) framework, feature extraction and sequence learning are carried out on a large number of animation data by using CNN (Convolutional Neural Network) and RNN (Recurrent Neural Network) structures, and the idea of GAN (Generative Adversarial Networks) is introduced for confrontation training. The design and implementation of the experiment strictly follow scientific principles, ensuring the controllability and repeatability of the experiment. The experimental results show that the algorithm model in this paper can generate natural, smooth, realistic and delicate 3D animation, and it shows a high level in character movements, expression changes and scene rendering. Compared with other 3D animation production methods, this algorithm model significantly improves the production efficiency.",3D animation generation; Animation; Animation production efficiency; Artificial Intelligence technology; Artificial intelligence; Deep Learning; Deep learning; Generative adversarial networks; Industries; Production; Recurrent neural networks; Solid modeling; Technological innovation; Three-dimensional displays,2025,"2025 International Conference on Digital Analysis and Processing, Intelligent Computation (DAPIC)",inproceedings,UNK
Generative Artificial Intelligence Device to analysis the data for SAP based Data Management,"Narne, Harish","A table-native AI model that shortens time-to-value for predictive activities on tabular data is being built by SAP. It is called the SAP Foundation Model. The goal is to build a general-purpose prediction engine that can automatically generate predictions from tabular data with minimal or no more training data. Although LLMs excel at text generation, they struggle with business-related data that is tabular and has challenges with categorisation, regression, and prediction. In fact, the SAP Foundation Model can compete with and even surpass these conventional methods while providing the flexibility of foundation models; in contrast, state-of-the-art LLMs perform 20-50% worse than incumbent restricted AI approaches in comparable cases. SAP has a long track record of successfully meeting business needs, and the company's stated goal is to develop AI that is useful, trustworthy, and socially conscious so that it can assist clients in solving their business challenges. Another innovative strategy for AI development, federated learning is quickly becoming the standard for delivering AI apps to the periphery of industrial networks. Research into the development of ethical guidelines and frameworks for the deployment of AI in MIS should prioritize the safety and security of data. In order to reap the benefits of AI integration for businesses, one must first establish a cohesive digital business plan. Another is getting people to interact with AI despite obstacles.",Business; Foundation models; GAI; Generative AI; Generative artificial intelligence; Guidelines; Predictive models; Safety; Standards; Training data; Video games; Virtual assistants; artificial intelligence; operations management; supply chain,2024,2024 International Conference on Intelligent Computing and Emerging Communication Technologies (ICEC),inproceedings,UNK
Generative Artificial Intelligence in Teaching and Learning of ICT Engineering Education: A Literature Review and Illustrative Scenarios,"Santos, Patricia and Urgel, Keysha and Moreno, Verónica","This paper presents a comprehensive literature review on the integration of Generative Artificial Intelligence (Gen AI) in the teaching and learning processes within Information and Communication Technologies (ICT) engineering education. The study delves into the potential of Gen AI technologies to enhance educational practices in engineering contexts. Through synthesizing existing literature, this review analyzes the impact of Gen AI on pedagogical strategies, curriculum development, and student engagement in the realm of ICT engineering education. The paper presents authentic teaching cases, including applications and experiments with students, from various studies conducted at higher education institutions worldwide. The illustrative scenarios primarily focus on showcasing the practical applications of Gen AI in two key areas: programming skills and ethics within ICT engineering education. The exploration of these cases provides valuable insights and discussion into the effective implementation of Gen AI in higher education, recognizing the importance of integrating the learning of these technologies into the curriculum. This research provides a valuable resource for ICT engineering educators, researchers, and policymakers aiming to harness AI technologies for transformative progress in engineering education.",Bibliographies; Engineering education; Generative AI; Generative Artificial Intelligence; Information and communication technology; Learning (artificial intelligence); Reviews; Soft sensors; Training data; ethics; programming; tools,2024,2024 47th MIPRO ICT and Electronics Convention (MIPRO),inproceedings,UNK
A Study on Instructional Design and Application of Information Technology Courses Based on Generative Artificial Intelligence,"Yang, Hairu and Li, Jiayi and Chen, Jiang and Xiang, Qianchen and Liang, Zhou and Zhang, Xiaoyu","This study addresses the problem of insufficient learning motivation caused by students’ passive learning in the traditional information technology classroom, constructs a teaching model based on generative artificial intelligence, and carries out an empirical study using the high school information technology course of a middle school in China as a scenario, selects 144 students in two classes in a middle school in China as the research subjects, and is guided by the constructivist learning theory, the theory of multiple intelligences and the theory of generative learning, and integrally methods such as literature study, questionnaire survey, and quasi-experimental study were utilized to explore. The results show that students’ learning motivation and satisfaction are significantly improved after using the teaching model based on generative AI. In addition, this study puts forward some teaching suggestions for the IT teaching mode based on generative AI, which enriches the connotation of the teaching mode of the IT course and provides middle school IT teachers with a concrete and operable pedagogical path in teaching.",Education; Electronic learning; Generative AI; Generative Artificial Intelligence; Information technology; Learning (artificial intelligence); Learning Motivation; Learning Satisfaction; Surveys; Teaching Models,2025,"2025 16th International Conference on E-Education, E-Business, E-Management and E-Learning (IC4e)",inproceedings,UNK
Design Analysis and Generation of Islamic Patterns Using Artificial Intelligence,"Lahcen, Yassine Ait and El Gourari, Abdelali and Elbachari, Essaid and Eddine Benatia, Mohamed Jamal","The paper aims to introduce a modeling methodology for the automated generation of novel Islamic geometric patterns using artificial intelligence tools. The main contribution is to propose a novel strategy leveraging both parametric shape grammar and graph theory to generate new dataset of Islamic arts motifs. The dataset produced will serve as input for our proposed artificial intelligence algorithm aimed at addressing the modeling problem it generates. To achieve this purpose, we should define rules to create original and new Islamic motifs using parametric shape grammar, and to evaluate our model, we build new forms using our proposed method.",Art; Artificial Intelligence; Artificial intelligence; Generative Adversarial Networks (GANs); Grammar; Graph theory; Islamic patterns; Mathematics computing; Prototypes; Satellites; Shape; parametric shape grammar (PSGs),2024,2024 International Conference on Global Aeronautical Engineering and Satellite Technology (GAST),inproceedings,UNK
TRACING THE EVOLUTIONARY BLUEPRINT OF GENERATIVE AI,"Marr, Bernard","Summary <p>As well as ushering in a new era of connectedness (and cat memes) the internet played a pivotal role in the evolution of AI. In the 2000s, as more and more of our everyday activities moved online, the resulting explosion in big data provided a huge boost for the evolution of AI. An area of recent development is domain&#x2010;specific generative models, which are models tailored to specific industries and applications, such as drug discovery. The roots of GenAI stretch as far back as the 1950s, when scientists and researchers first introduced the concept of intelligent machines. Most notably, the Turing Test&#x2013;designed to prove whether a computer can demonstrate human&#x2010;like intelligence &#x2013; was introduced in 1950. The mid&#x2010;2010s onwards saw the development of neural networks that power GenAIs. The release of ChatGPT in 2022 marked a significant milestone and spawned an AI arms race.</p>",Artificial intelligence; Chatbots; Deep learning; Generative AI; Internet; Oral communication; Prediction algorithms; Training; Transformers; Virtual assistants,2024,Generative AI in Practice: 100+ Amazing Ways Generative Artificial Intelligence is Changing Business and Society,inbook,UNK
Artificial General Intelligence in Sight,"Musiol, Martin","Summary <p>Described as a hypothetical yet potent entity, artificial general intelligence (AGI) is envisioned to master any intellectual feat achievable by humans or animals. This chapter delves into AGI's allure, its pathway, and the paradigm it aims to establish. It briefly pivots toward the tangible manifestations of AI advancements&#x2014;humanoid robots, epitomizing the fusion of form and intellect. Harnessing the power of AI through autonomous AI agents heralds a new era in the technological landscape. The chapter discusses some domains where AGI could significantly contribute: extended lifespan, accelerated research, space exploration, climate change mitigation, biodiversity conservation, advanced judicial systems, and safe harnessing of catastrophic technologies. The melding of AI with robotics unveils a realm where machines interact physically, with AI acting as their brain, propelling advancements in autonomous vehicles, industrial automation, and healthcare robotics.</p>",Artificial general intelligence; Artificial intelligence; Computational modeling; Generative AI; Learning (artificial intelligence); Motion pictures; Multitasking; Sentiment analysis; Translation; Videos,2024,Generative AI: Navigating the Course to the Artificial General Intelligence Future,inbook,UNK
Legal Risks and Governance Paths for Generative AI--A Case Study of ChatGPT,"Zhenfeng, Wang and Quanwang, Lin and Huihui, Gao and Xiehua, Yu","The release of OpenAI's ChatGPT chatbot has sparked widespread concern around the world about the threats and legal issues of generative AI. Although this technological innovation has opened a new chapter in the field of artificial intelligence, it has also caused the public to worry about its possible negative effects. In order to solve the above problems and reasonably regulate the legal risks of generative artificial intelligence, this paper mainly adopts the literature, quantitative and qualitative analysis methods, etc. The first part mainly introduces the development process and current situation of generative artificial intelligence, the second part mainly discusses the impact of generative artificial intelligence on tort law, the third part mainly discusses the legal risks of generative artificial intelligence, and the fourth part mainly discusses the governance path of generative artificial intelligence legal risks. The last part is the conclusion of the research. Among them, the fourth part is the focus of this paper. By taking these issues into account, we can provide legal guarantees for the sustainable development of the generative AI industry and ensure that the widespread application of AI benefits human society[1].",ChatGPT; Chatbots; Generative AI; Generative Artificial Intelligence; Industries; Legal regulation; Plagiarism; Production; Regulation; Technological innovation,2023,2023 13th International Conference on Information Technology in Medicine and Education (ITME),inproceedings,UNK
Artificial Neural Network Based Improved Pelican Optimization Algorithm for 3D Printed Footwear Products Design in Artificial Intelligence,"Tian, Liang","The usage of three-dimensional (3D) image printing for footwear designs has expanded recently as a result of improvements in production processes and materials. Throughout the manufacturing process, enormous volumes of multi-modal data including text and graphics are generated, effectively personalizing goods remains a challenge. Thus, in this research, an artificial intelligence technique known as the Artificial Neural Network based Improved Pelican Optimization approach (ANN – IPOA) is designed to produce user-friendly material for 3D printing. First, data about shoes is collected using the Common Objects in Context (COCO) database. ANN which improves the 3D printing by mimicking pelican foraging behavior to optimize printing parameters. Then IPOA is utilized which offers effecient basis for optimizing selection. According to the results it illustrates that the proposed model has achieved better performance in terms of accuracy of 98.95% and print time of 1hr 12 min which is comparatively higher than existing models namely Mask Region Convolutional Neural Network (Mask RCNN) and Deep Neural Network (DNN).",Accuracy; Artificial intelligence; Artificial neural networks; Databases; Footwear; Optimization; Product design; Production; Three-dimensional displays; Three-dimensional printing; artificial intelligence (AI); artificial neural network; common objects in context; improved pelican optimization algorithm. three dimensional images,2024,2024 International Conference on Intelligent Algorithms for Computational Intelligence Systems (IACIS),inproceedings,UNK
Theoretical considerations on application of artificial intelligence in coordinate metrology,"Wieczorowski, Michal and Kucharski, Dawid and Sniatala, Pawel and Krolczyk, Grzegorz and Pawlus, Pawel and Gapinski, Bartosz","Artificial intelligence and solution-finding methods based on it are becoming more and more common not only in science, but also in everyday life. It is one of the important elements of Industry 4.0 strategy, supporting human in making decisions especially based on large sets of input data. Also in length and angle metrology, opportunities are opening up to use artificial intelligence to solve technical issues. This is not only related to technology, but also to the social factor. With increasing problems related to the availability of highly qualified staff, the use of artificial intelligence methods in the selection of measurement strategy, measurement conditions, filtration techniques and other elements affecting the implementation of the measurement process and obtaining a correct measurement result, becomes a necessity. This paper discusses the possibilities of using artificial intelligence in length metrology. In the macro scale the selection of the measurement strategy and measurement conditions for contact and non-contact technology devices is presented. On a micro scale, the possibility of selecting filtration techniques and unevenness parameters for functional applications is shown.",Artificial intelligence; Filtration; Fourth Industrial Revolution; Instruments; Metrology; Nanotechnology; Social factors; Software; Software measurement; artificial intelligence; database; metrology; scale; scanning,2021,2021 6th International Conference on Nanotechnology for Instrumentation and Measurement (NanofIM),inproceedings,UNK
Application of Generative Artificial Intelligence in English Education: Taking ChatGPT System as An Example,"Tang, Zezong and Zhang, Yi","As a crucial strategic support for advancing national education, artificial intelligence possesses immense application potential. Developed by OpenAI, the generative artificial intelligence model, ChatGPT, has attracted considerable attention and sparked extensive debate since its launch. This study, taking ChatGPT as an exemplar, explores the prospective applications of generative artificial intelligence in English education based on its four core competences: text generation, contextual dialogue understanding, sequential task accomplishment, and programming language interpretation capabilities. The inquiry probes into ChatGPT’s potential to augment students’ English proficiency across all linguistic abilities, encompassing listening, speaking, reading, and writing. Furthermore, this research offers a preliminary validation of the feasibility of implementing generative artificial intelligence within English education through specific instructional tasks such as syllabus creation, self-learning support, and pedagogical feedback from three aspects: educational subject, educational object, and educational process. Additionally, this paper delves into the merits of employing artificial intelligence in the realm of education, hoping to furnish more insights for future inquiries.",ChatGPT; Chatbots; Education; Generative AI; Linguistics; Probes; Task analysis; Writing; artificial intelligence application in education; generative artificial intelligence,2023,2023 3rd International Conference on Educational Technology (ICET),inproceedings,UNK
Interpolation of CNC Toolpaths using Generative Adversarial Networks,"Kaiser, Benjamin and Verl, Alexander","CNC controls are widely used in modern manufac-turing technology. They play a important role for the productivity of the machine they control. Already today, these controls are reaching their performance limits in certain scenarios. The controller acts like a performance bottleneck for increasingly dynamic machine tools. To further increase the performance of CNC controllers, this work proposes an novel method based on the use of generative adversarial networks (GAN) for the direct generation of tool paths within the CNC controllers. We present a concept that enables interpolation with GAN. Based on this, a novel system architecture for the integration of GAN into an AI-module within CNC controls is developed. The new method is evaluated on the basis of an example contour. GAN trained to generate linear toolpaths are used for evaluation. A smoothing GAN is used to blend the sharp path transitions between the generated path segments.",Artificial intelligence; CNC; Gallium nitride; Generative Adversar ial Network (GAN); Generative adversarial networks; Geometry; Image segmentation; Interpolation; Numerical Control; Training,2019,2019 Second International Conference on Artificial Intelligence for Industries (AI4I),inproceedings,UNK
Analysis of Recommender System Using Generative Artificial Intelligence: A Systematic Literature Review,"Ayemowa, Matthew O. and Ibrahim, Roliana and Khan, Muhammad Murad","Recommender Systems (RSs), which generate personalized content, have become a technological tool with diverse applications for users. While numerous RSs have been proposed and successfully implemented across various domains, traditional AI-based RSs still encounter certain challenges, such as data sparsity, cold start, and diversity. Generative Artificial Intelligence in recommender systems is a recent advancement used by platforms like Netflix, Spotify, and Amazon to recommend items, news, videos, audios, goods, and services to their customers/users or to personalize experiences for their customers/users. The main purpose of this review is to compare traditional AI-based recommender systems with generative AI-based recommender systems. A total of fifty-two (52) papers, published between 2019 and February 2024, were selected from six major online libraries. To get a more comprehensive understanding of the selected study, we reviewed the selected studies techniques, and the models, datasets, and metrics used. Our systematic review reveals that generative AI models, such as generative adversarial networks (GANs), variational autoencoder (VAEs) and autoencoders have been widely used in recommender systems and they perform better than traditional AI techniques. Among the 30 datasets analyzed, MovieLens was the most frequently used, accounting for 33%, while Amazon datasets accounted for 11%, Recall and RSME are the most commonly used metrics. Our literature review offers understandings into the Generative AI techniques used across different recommender systems and provides suggestions for the future research. Finally, we elaborated on open issues and discussed current and future trends in generative AI-based recommendation systems.",Artificial intelligence; Generative AI; Generative adversarial networks; Recommender system; Recommender systems; Surveys; Systematics; generative AI; traditional recommender systems,2024,IEEE Access,article,UNK
Innovative Approaches in Artificial Intelligence: Current Trends Shaping the Technological Future,"Maťašová, Sylvia and Chovanec, Martin and Rusnáková, Renáta and Čatloch, Dušan","This paper provides an in-depth analysis of current trends in artificial intelligence, with a focus on developments from 2022 to the present. The aim is to identify and examine the key areas that are currently shaping the direction of this rapidly evolving field. Our analysis is based on an extensive study of specialized books, publications, and other relevant sources released during this period. We focus on advancements in machine learning, breakthrough technologies, ethical issues related to AI implementation, as well as new applications and their impact across various sectors, such as healthcare, finance, and industry. The paper offers a comprehensive overview of current trends and discusses their potential implications for the future of technology, the economy, and society as a whole.",Artificial intelligence; Ethics; Finance; Force; Indexing; Industries; Machine learning; Market research; Medical services; Transforms; artificial intelligence; human-centered artificial intelligence; machine learning; technology,2024,2024 International Conference on Emerging eLearning Technologies and Applications (ICETA),inproceedings,UNK
Artificial Intelligence based 5G Coverage Design and optimization using Deep Generative Adversarial Neural Networks,"Maksymyuk, Taras and Gazda, Juraj and Luntovskyy, Andriy and Klymash, Mykhailo","Modern 5G networks require complete rethinking of the network management and self-organizing functionality in order to provide extremely high quality of user experience across multi-tier coverage with different cells radius. In this paper, we propose a novel approach for the small cells coverage planning and performance optimization for multi-tier heterogeneous network based on the artificial intelligence (AI). We develop the AI plane in a way that knowledge is derived there and delivered to the each local SDN controller in a simplified form. Proposed approach allows to effectively train deep neural networks by using generative adversarial networks (GAN) for various topologies in conditions of limited amount of real data about network behavior and performance.",5G; 5G mobile communication; AI; Artificial intelligence; Complexity theory; GAN; Generative adversarial networks; Optimization; Planning; SDN; coverage planning,2018,2018 International Conference on Information and Telecommunication Technologies and Radio Electronics (UkrMiCo),inproceedings,UNK
Estimating the Training Performance of Generative Adversarial Networks by Image Quality,"Chang, Kuei-Chung and Lo, Ming-Ching","Generative adversarial networks (GANs) can address the problem when the number of training samples is insufficient for many fields of AI models. However, we observed that in Generative Adversarial Networks, the loss cannot directly indicate the quality of generated images. A low loss does not necessarily guarantee good image quality, and a high loss does not necessarily imply poor image quality. This paper discusses the impact of various hyperparameters on the quality of generated images. We also attempt to use a small dataset to create synthetic images of a certain quality using the proposed evaluation method in GANs.",Artificial intelligence; Consumer electronics; Generative Adversarial Network; Generative Artificial intelligence; Generative adversarial networks; Image quality; Image recognition; Training; hyperparameters,2024,2024 International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),inproceedings,UNK
Study of perception on the use of generative artificial intelligence in higher-level students,"Castillo, Karina Culebro and Zárate Hernández, Ximena M. and Gazca Herrera, Luis A. and Garizurieta Bernabe, Jessica","Generative Artificial Intelligence (GAI) tools are advanced systems capable of generating content in formats such as text, images, or videos, which has been transforming fields such as education. However, excessive use of these tools may result in students not fully utilizing their own skills, thereby diminishing their critical thinking, analytical abilities, and information search skills. This research aims to study the perceptions of higher education students regarding GAI tools to assess their experiences with the usefulness of these instruments and their impact on learning. To achieve this, a non-experimental, comparative, descriptive research approach with a quantitative focus was employed, involving theoretical and conceptual processing. An instrument was designed to measure dimensions such as ethics, experience, usefulness, and quality. Finally, the results revealed that students use and understand basic concepts of GAI tools, recognize their limitations, and are thus familiar with them. The study also identified certain risks related to students' perception of these tools as substitutes for their teachers rather than as supportive aids and noted that they are perceived as potentially diminishing students' learning capacity.",Education; Ethics; Generative AI; Higher education; Information retrieval; Instruments; Organizations; Problem-solving; Videos; generative artificial intelligence; learning process,2024,2024 IEEE International Conference on Engineering Veracruz (ICEV),inproceedings,UNK
Exploring Generative Artificial Intelligence Research: A Bibliometric Analysis Approach,"Dwivedi, Rahul and Elluri, Lavanya","Artificial Intelligence (AI) and its many applications are changing our lives in ways we could not have imagined a decade ago. Generative artificial intelligence is an artificial intelligence system capable of generating texts, images, and other media based on the input training data. Although still in their early stages, numerous examples of such systems in different domains have gained widespread attention from the public, media, policymakers, and researchers. This study aims to explore the generative AI academic research in the past decade using bibliometrics, text analysis, and social network analysis. Specifically, research themes and their relationships, the evolution of research themes over time, and prominent authors, articles, journals, institutions, and countries publishing in generative AI are identified. The data was further found to partially support the classical bibliometrics laws of Zipf, and Bradford’s. The two overarching research themes identified using knowledge synthesis from most cited articles and journals are technical advancements and developments in generative AI systems; and their applications to image processing, pattern recognition, and computer vision. ChatGPT, large language models, and the application of generative AI to healthcare and education are emerging research topics. Additionally, generative AI’s usefulness to geoscience, remote sensing, Internet of Things (IoT), and cybersecurity are discussed.",Artificial intelligence; Bibliometrics; Databases; Generative AI; Generative artificial intelligence; Indexes; Internet; Market research; bibliometric analysis,2024,IEEE Access,article,UNK
Research on the Application of AI Intelligence in the Field of Floral Design Under the Environment of Big Data,"Ma, Qianqian","In the era of big data, artificial intelligence (AI) technology is widely used in various fields. Floral design, as a field that blends art and creativity, can also benefit from the development of AI. The application of AI intelligence in the field of flower design under the environment of big data is deeply studied and discussed. Through exploring the application methods and technical means of AI technology in flower design, some suggestions for improvement and development are put forward. This is of great significance for promoting innovation and sustainable development of floral design, providing new ideas and directions for floral designers, teaching and related industries.",Artificial intelligence; Big Data; Flowering plants; Industries; Market research; Power electronics; Soft sensors; Sustainable development; Technological innovation; Telecommunications; applied research; artificial intelligence; big data environment; floral design; innovation and development,2024,2024 International Conference on Telecommunications and Power Electronics (TELEPE),inproceedings,UNK
Preface to the First Workshop on GenAI-XR: Generative Artificial Intelligence meets Extended Reality,"Bosser, Anne-Gwenn and Cascarano, Pasquale and Lacoche, Jérémy and Hajahmadi, Shirin and Stanescu, Ana and Sörös, Gábor","The GenAI-XR workshop aims to explore the intersection of Generative Artificial Intelligence (GenAI) and Extended Reality (XR), examining their combined potential to revolutionize various sectors including entertainment, arts, education, factory work, healthcare, architecture, and others. The workshop will provide a platform for researchers, industry professionals, and practitioners to discuss innovative methods of integrating GenAI into XR environments, enhancing immersive experiences, and personalizing interactions in real time. Through presentation and discussion sessions, participants will gain insights into the latest developments, challenges, and future directions at the intersection of GenAI and XR.",Adaptive Environments; Artificial Intelligence and Extended Reality Integration; Conferences; Context-Aware Systems; Education; Entertainment industry; Extended Reality; Extended reality; Generative AI; IndexTerms: Generative Artificial Intelligence; Medical services; Personalized Interactions; Production facilities; Real-time systems; Three-dimensional displays; User interfaces,2025,2025 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),inproceedings,UNK
Examine the Role of Generative AI in Enhancing Threat Intelligence and Cyber Security Measures,"Saddi, Venkata Ramana and Gopal, Santhosh Kumar and Mohammed, Abdul Sajid and Dhanasekaran, S. and Naruka, Mahaveer Singh","Generative Artificial Intelligence (AI) has increasingly been used to enhance threat intelligence and cyber security measures for organizations. Generative AI is a form of AI that creates new data without relying on existing data or expert knowledge. This technology provides decision support systems with the ability to automatically and quickly identify threats posed by hackers or malicious actors by taking into account various sources and data points. In addition, generative AI can help identify vulnerabilities within an organization's infrastructure, further reducing the potential for a successful attack. This technology is especially well-suited for security operations centers (SOCs), which require rapid identification of threats and defense measures. By incorporating interesting and valuable data points that previously would have been missed, generative AI can provide organizations with an additional layer of defense against increasingly sophisticated attacks.",Cyber security; Enhancing; Generative AI; Malware; Market research; Measures; Organizations; Security; Threat Intelligence; Threat assessment; Time measurement,2024,2024 2nd International Conference on Disruptive Technologies (ICDT),inproceedings,UNK
The Role of Artificial Intelligence Algorithms in Personalized Design of Visual Communication,"Sun, Hongbo","Based on the problems of insufficient design innovation and low design efficiency in personalized visual communication design, this study uses the style transfer algorithm to apply a specific artistic style to the design and automatically generates visual elements with personalized characteristics. At the same time, Generative Adversarial Networks (GAN) are used to create new patterns and color combinations and enhance the diversity of design, while ChatGPT is used to parse user needs and transform text descriptions into design concepts. In the process of implementing these methods, this paper collects and analyzes user data to build user portraits to understand their preferences and needs. This paper also uses a style transfer algorithm to combine user-favorite elements with design templates to generate preliminary design sketches. Then GAN intervenes to generate new design elements and uses these elements to enrich and refine the design content. During the design process, the artificial intelligence model is continuously optimized based on user feedback to ensure that the final output design not only meets the user's personalized needs but is also highly innovative and attractive. Ultimately, these individually adjusted designs are output in an appropriate format for application in actual products or services. Based on comparative experiments, this paper found that personalized design is superior to traditional design methods in multiple key indicators: the average innovation score of personalized design is as high as 9.06, higher than the 6.89 of traditional design; the time required for personalized design is mainly concentrated between 20 and 30 minutes, while the time required for traditional design ranges from 30 to nearly 50 minutes and fluctuates greatly; the adoption rate of personalized design reaches a minimum of 90.2% and a maximum of 99.9%, while the adoption rate of traditional design is lower, with a minimum of only 75.2% and a maximum of only 88.7%. Through comparative analysis, this paper confirms the advantages of personalized design over traditional design in multiple dimensions, and demonstrates the application potential and value of artificial intelligence technology in the field of design.",Artificial intelligence; Generative adversarial networks; Global communication; Image color analysis; Industries; Technological innovation; Transforms; User experience; Visual communication; Visualization; adoption; generative adversarial network; innovation score; style transfer,2025,2025 IEEE 14th International Conference on Communication Systems and Network Technologies (CSNT),inproceedings,UNK
A Survey of Hybrid Human-Artificial Intelligence for Social Computing,"Wang, Wenxi and Ning, Huansheng and Shi, Feifei and Dhelim, Sahraoui and Zhang, Weishan and Chen, Liming","With the convergence of modern computing technology and social sciences, both theoretical research and practical applications of social computing have been extended to new domains. In particular, social computing was significantly influenced by the recent advances of artificial intelligence (AI). However, the conventional technologies of AI have various drawbacks in dealing with complicated and dynamic problems. Such deficiency can be rectified by hybrid human-artificial intelligence (H-AI), which integrates both human intelligence and AI into one unity, forming a new enhanced intelligence. H-AI in dealing with social problems shows some advantages over the conventional AI. This article firstly reviews the latest research progresses of AI in social computing. Secondly, it summarizes typical challenges AI faces in social computing, which motivate the necessity to introduce H-AI to tackle social-oriented problems. Finally, we discuss the concept of H-AI and propose a holistic architecture of H-AI in social computing, which consists of three layers: object layer, intelligent processing layer, and application layer. The proposed architecture shows that H-AI has significant advantages over AI in solving social problems.",Affective computing; Artificial intelligence; Artificial intelligence (AI); Human intelligence; Neural networks; Particle swarm optimization; Social computing; Social networking (online); hybrid human-artificial intelligence (H-AI); social computing,2022,IEEE Transactions on Human-Machine Systems,article,UNK
Research on the Application of Artificial Intelligence in Automatic Generation of Digital Teaching Resources,"Xia, Xiaoyan and Yan, Ling and Yao, Zhihan","This paper discusses the application of artificial intelligence (AI) in the automatic generation of digital teaching resources, aiming at improving teaching efficiency, optimizing resource allocation, promoting educational equity and promoting educational innovation. By constructing and optimizing AI models, such as Natural Language Processing (NLP) model based on Transformer, Convolutional Neural Network (CNN) and Generative Adversarial Networks (GAN), high-quality digital teaching resources, including courseware, exercises and video explanations, are automatically generated. These resources can be customized according to the individual needs of students, thus improving the pertinence and effectiveness of teaching. The empirical analysis shows that the resources generated by AI are better than those made by human experts in accuracy, clarity and innovation, and can significantly improve students' academic performance and interest. The study also found that the use of AI resources can provide personalized teaching support according to students' participation and mastery. Generally speaking, the application of AI in the automatic generation of digital teaching resources provides an efficient and innovative way to generate teaching resources in the field of education, which is helpful to realize the personalization and fairness of education.",Accuracy; Artificial intelligence; Automatic generation; Convolutional neural networks; Courseware; Digital teaching resources; Education; Generative adversarial networks; Natural language processing; Resource management; Technological innovation; Transformers,2025,"2025 International Conference on Electrical Drives, Power Electronics & Engineering (EDPEE)",inproceedings,UNK
A Framework to Overcome the Dark Side of Generative Artificial Intelligence (GAI) Like ChatGPT in Social Media and Education,"Kim, Pyoung Won","As the performance of generative artificial intelligence (GAI), such as ChatGPT, improves, content created by GAI will be distributed in the social media space, and knowledge and writings from unknown sources will be disseminated and reproduced. Now that GAI is becoming widespread, it is necessary to distinguish GAI from human intelligence, which constitutes knowledge. The data, information, knowledge, and work (DIKW) hierarchy is a useful framework for teaching and for checking metacognitive and explainable artificial intelligence (XAI) literacy. There are two types of collaboration between GAI and human intelligence: a combined intelligence model and a parallel intelligence model. The combined intelligence model is a method of using GAI for creating works by collecting data, organizing information, and deriving knowledge from information. This model is suitable for GAI-assisted tasks (GAIATs). The parallel intelligence model is suitable for GAI-assisted learning (GAIAL); it is a method in which a person develops abilities by analyzing and comparing tasks created by GAI after going through the data-information-knowledge-work process. The zone of proximal development (ZPD) created by educational scaffolding is a quantitative framework that is appropriate for evaluating the effects of GAI. The ZPD generated by GAI that corresponds to scaffolding should be managed so as not to favor or disadvantage specific individuals.",Algorithm; Artificial intelligence; ChatGPT; Chatbots; Data models; GAI-assisted learning (GAIAL); GAI-assisted tasks (GAIATs); Generative AI; Knowledge engineering; Social networking (online); Taxonomy; and work (DIKW) hierarchy; data; education; explainable artificial intelligence (XAI); generative artificial intelligence (GAI); information; knowledge; social media,2024,IEEE Transactions on Computational Social Systems,article,UNK
Generative AI and Emotional Health: Innovations with Haystack,"Agliata, Antonio and Pilato, Antonio and Mariacarmen, Sorrentino and Bottiglieri, Salvatore and Nardo, Emanuel Di and Ciaramella, Angelo","Generative artificial intelligence (AI) is poised to revolutionize the healthcare sector by enhancing research methodologies, diagnostic procedures, and treatment protocols. This paper investigates the application of key generative AI technologies, including Generative Adversarial Networks (GANs), Variational Autoencoders (VAEs), and Pre-trained Generative Transformer models, with a particular focus on their implementation in medical imaging, drug discovery, and electronic health record management. Utilizing the Haystack framework, this study integrates these technologies to optimize data access and retrieval. The research addresses the primary challenges in healthcare AI adoption, such as data quality, model interpretability, ethical considerations, and regulatory compliance. By leveraging the Haystack framework, we identify future research opportunities, emphasizing the integration of multimodal data, the personalization of treatments, and the development of transparent AI systems. The study underscores the critical role of interdisciplinary collaboration between AI researchers and healthcare professionals in maximizing the benefits of these technologies, managing their complexities, and ensuring their successful integration into healthcare systems. Our findings demonstrate the potential of generative AI to significantly improve clinical decision-making and patient care, while also highlighting the importance of ethical guidelines and robust data security measures.",Drug discovery; Electronic medical records; Emotional Well-Being; Ethics; Generative AI; Generative Pre-trained Transformer; Generative adversarial networks; Guidelines; Medical services; NLP; Protocols; Retrieval-Augmented Generation; Technological innovation; Transformers; User-Centered AI Design,2024,2024 IEEE Symposium on Computers and Communications (ISCC),inproceedings,UNK
